,precision,recall,f1-score,support
0,0.75,0.9056603773584906,0.8205128205128205,53.0
1,0.9137931034482759,0.7681159420289855,0.8346456692913385,69.0
accuracy,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164
macro avg,0.8318965517241379,0.8368881596937381,0.8275792449020796,122.0
weighted avg,0.8426370830977955,0.8278688524590164,0.8285059890842774,122.0
