,precision,recall,f1-score,support
0,0.8333333333333334,0.7547169811320755,0.7920792079207922,53.0
1,0.8243243243243243,0.8840579710144928,0.853146853146853,69.0
accuracy,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164
macro avg,0.8288288288288288,0.8193874760732842,0.8226130305338226,122.0
weighted avg,0.8282380741397135,0.8278688524590164,0.8266174662863512,122.0
