,precision,recall,f1-score,support
0,0.82,0.7735849056603774,0.796116504854369,53.0
1,0.8333333333333334,0.8695652173913043,0.851063829787234,69.0
accuracy,0.8278688524590164,0.8278688524590164,0.8278688524590164,0.8278688524590164
macro avg,0.8266666666666667,0.8215750615258408,0.8235901673208015,122.0
weighted avg,0.8275409836065575,0.8278688524590164,0.8271932705950878,122.0
